"seconds" "dogs"
3195.79088049832 1
3517.35046972078 3
2966.39853091895 3
3211.36545592173 3
2990.6837388416 5
3268.61766598656 3
3735.79948454545 0
3614.78622345914 2
-126.156868461897 4
3074.28199756333 3
704.652716781395 4
2406.40073872077 3
2178.45790996829 2
-417.395315347039 6
4123.030836138 2
2862.95528987424 5
4295.70361266645 2
3471.93920893245 2
4000.42446492193 1
3056.16037659812 2
3277.72138804939 2
4242.95132675289 2
3307.45217412612 1
3759.40737331734 0
4374.25113641351 2
2373.46124296202 4
2327.6647832928 3
2859.7282138095 5
961.842207931168 5
3821.38513295813 0
5097.95633332305 3
3315.25037027592 2
3336.61045589379 2
5415.45601890211 3
4622.95243971832 1
3065.6128755554 4
3222.25711883733 2
2602.4158067701 2
632.374361719279 8
3564.27390796944 4
4112.46612257385 3
2001.42224739217 3
3116.66964806551 2
2132.52389376013 3
4863.84411984464 2
4210.66080122666 3
1732.02545411126 4
2734.37260090894 3
1542.71293726306 2
2365.81631045388 4
3281.68511318784 1
5476.02962641777 2
2097.36936761562 4
3457.2016278607 3
2192.49250499033 1
3678.21975337119 3
3574.12622103721 3
4180.49741079511 4
4504.73621185521 1
2892.7744323865 5
2305.75170467609 5
3879.30013283936 0
5464.43885837266 2
3592.87554151722 0
4052.8160555633 2
1964.33903956652 4
3425.63808760954 2
2757.94129953988 3
2611.00293880139 1
3430.36897324053 3
3067.5734753077 1
921.917186737263 5
3120.43248942204 0
1726.09902025949 4
5504.78802739107 1
3667.01231140822 3
3848.34527362068 2
5314.79747240854 1
3547.60895932737 2
2250.59572484663 4
1517.47436745515 6
3782.06801893578 3
3005.29854023228 1
1699.58782348306 3
3675.6402704375 1
3029.82802646645 5
2669.89590038798 2
3246.21573753075 2
4643.20604111708 1
1937.35945900808 5
5214.84345432658 1
907.770166125269 5
3046.14038342638 1
3701.02489202977 1
3292.0409823546 1
3809.41924411977 3
4934.20740357644 2
4729.81462677102 0
4973.19107835264 2
2819.77765926405 4
5507.1148190523 0
3028.49080640117 3
3594.98261312546 2
3789.01697098472 2
2057.79031814962 1
4214.64927153997 2
5640.06173734575 1
4357.1082308207 1
3294.37204114778 3
2671.20582420964 0
3844.29083991411 4
3930.48826444312 1
859.664922276076 6
3616.8058015317 1
3637.99014412581 2
1604.48629003212 5
3427.24745911716 6
5452.37700781921 2
3805.59213613891 1
1520.9503517007 4
2744.03699520446 4
1834.14147293632 5
-583.482397754141 8
2260.45605600632 6
2017.3698147151 3
4173.09348174944 2
2954.53186728041 2
2605.53785048406 3
1645.04955581358 3
3698.77727869201 2
2573.35367935613 6
0 6120.112
4906.97801991206 1
4408.44529337574 2
2980.75975995705 5
4650.5314120709 3
2393.83779678459 5
3809.21236896774 3
1672.54225985363 3
1725.82569890824 5
2342.48652666455 3
2733.05369752297 7
4322.40284250821 2
1271.28461443541 3
2746.75675699044 2
3341.64926815194 3
3428.17961768445 4
5566.52614805052 3
1696.51378006758 7
3059.78527848951 3
3306.73048295373 3
2669.74367242366 2
3717.67083598748 1
3351.85283394643 5
4821.8101600786 2
103.39936596208 8
2050.26800752512 3
2341.7988582691 9
1703.08206169174 2
3979.69137620115 3
5358.06156389148 3
4125.67237723982 3
4115.98020173665 3
3741.383329121 2
2328.27234036207 1
3879.74784175875 3
3451.93320641459 3
3600.75582612992 1
2390.82383990476 4
4356.5106455741 2
337.999343109269 4
2504.31296111197 3
2229.08157586888 4
4967.52703789898 3
3751.15068626851 2
3757.21746265612 4
3267.67275119373 3
3477.44675558955 3
4403.4108491006 1
2292.04976717559 2
2086.25662331868 3
3608.34765472524 2
2742.56077620702 3
3077.37562886859 1
1461.59934443845 6
5172.24678903817 0
742.239442867524 5
2715.02029380066 3
3881.67280870198 2
2552.18830850883 4
1378.05798101376 3
1800.57708233192 8
5375.21204653766 1
3767.67667745622 5
2842.89374463727 4
2432.4540674317 5
2311.12039783555 5
3564.14826284583 4
2305.19767461536 7
2609.72901392358 3
1706.24970409755 4
4478.33503960248 3
3087.59849022179 2
3790.97700932785 4
3882.57279129482 3
3078.89982948689 4
3330.72503331954 2
3477.80017863667 2
1621.72542220695 2
2826.76518296909 7
4664.20757062729 3
1804.47242416969 2
3918.19093176301 1
2022.92639020913 4
3634.96606121322 3
3236.56768900047 6
2346.75141827873 3
3593.27286222824 4
4259.59803737651 3
3806.78333547692 5
2230.94376535659 2
3776.80104717284 0
3010.46458394947 2
1539.2250012197 2
3835.18622573669 1
2990.97880520137 3
2614.92487854487 4
2105.89313679359 2
3137.81158867732 3
3666.98737820823 3
2841.82519729606 4
2938.65401631143 3
2694.96203935093 1
2948.2826868108 4
3196.08757664452 3
5429.72864188582 2
1401.45288487973 4
2566.69723054655 2
2196.22778301302 3
-420.92962354055 8
1748.27422428259 3
